Year,Age,Sex,PA_3cat,mu,sigma,nu,tau
1995,20,0,1,20.9261439882156,0.115424117611765,-1.621100079703,9.11365227784179
1995,20,0,2,21.3282546430692,0.102567664871219,-1.7758884316036,7.48983942374057
1995,20,0,3,21.2381532114246,0.102869473222687,-1.59372155148813,5.98965985777356
1995,20,1,1,20.1221448614383,0.132806996701266,-2.27520838898895,23.0465959374983
1995,20,1,2,20.5088061045153,0.118014361400845,-2.42999674088955,18.9402994072286
1995,20,1,3,20.4221664416708,0.118361622108288,-2.24782986077408,15.146646628244
1995,21,0,1,21.0160760525911,0.115777323141713,-1.59051504898302,9.29364198823529
1995,21,0,2,21.4199148156579,0.102881528794772,-1.74530340088362,7.6377597072531
1995,21,0,3,21.3294261646692,0.103184260700009,-1.56313652076815,6.10795240507399
1995,21,1,1,20.2086216642392,0.133213395005375,-2.24462335826897,23.5017537602772
1995,21,1,2,20.5969446202349,0.118375493250258,-2.39941171016957,19.31436009126
1995,21,1,3,20.5099326153219,0.118723816598723,-2.2172448300541,15.4457847187633
1995,22,0,1,21.1058083859156,0.116127411407878,-1.55966816615428,9.4771864038346
1995,22,0,2,21.5113714192224,0.103192622669279,-1.71445651805489,7.78860134110669
1995,22,0,3,21.4204964088689,0.103496269977333,-1.53228963793941,6.22858116999918
1995,22,1,1,20.2949064098152,0.133616206585586,-2.21377647544024,23.9659007184826
1995,22,1,2,20.6848873882143,0.11873343788107,-2.36856482734084,19.6958082834878
1995,22,1,3,20.5975038681713,0.119082814492072,-2.18639794722537,15.7508306343761
1995,23,0,1,21.1950823097526,0.116472589359343,-1.52843843774833,9.66435572761507
1995,23,0,2,21.6023608046368,0.103499353161825,-1.68322678964894,7.94242201995508
1995,23,0,3,21.5111014086864,0.103803903033318,-1.50105990953346,6.35159229123541
1995,23,1,1,20.3807503583615,0.134013368357407,-2.18254674703428,24.4392143413373
1995,23,1,2,20.7723808889373,0.119086362004336,-2.33733509893489,20.0847898821022
