age,sex,year,pops,reg
46,women,6,658446,Overall
47,women,6,640818,Overall
48,women,6,607380,Overall
49,women,6,596401,Overall
50,women,6,583270,Overall
51,women,6,569662,Overall
52,women,6,564692,Overall
53,women,6,549848,Overall
54,women,6,551319,Overall
55,women,6,541803,Overall
56,women,6,543753,Overall
57,women,6,525215,Overall
58,women,6,480630,Overall
59,women,6,454341,Overall
60,women,6,398407,Overall
61,women,6,354633,Overall
62,women,6,471674,Overall
63,women,6,478527,Overall
64,women,6,465463,Overall
65,women,6,568263,Overall
66,women,6,600899,Overall
67,women,6,592430,Overall
68,women,6,551774,Overall
69,women,6,515645,Overall
70,women,6,500880,Overall
71,women,6,482738,Overall
72,women,6,446103,Overall
73,women,6,358392,Overall
74,women,6,355471,Overall
75,women,6,360305,Overall
76,women,6,376419,Overall
77,women,6,362013,Overall
78,women,6,352040,Overall
79,women,6,329232,Overall
80,women,6,324742,Overall
81,women,6,318210,Overall
82,women,6,291070,Overall
83,women,6,271175,Overall
84,women,6,260883,Overall
85,women,6,251495,Overall
86,women,6,223976,Overall
87,women,6,152021,Overall
88,women,6,85538,Overall
89,women,6,70847,Overall
90,women,6,119957.030089138,Overall
91,women,6,114302.087517754,Overall
92,women,6,93815.527909903,Overall
93,women,6,58317.7231734057,Overall
94,women,6,24140.4200699106,Overall
95,women,6,5850.87307422595,Overall
0,men,7,351803,Overall
1,men,7,346869,Overall
2,men,7,352462,Overall
3,men,7,362424,Overall
4,men,7,362941,Overall
5,men,7,369983,Overall
6,men,7,378510,Overall
7,men,7,394106,Overall
8,men,7,396843,Overall
9,men,7,404597,Overall
10,men,7,417121,Overall
11,men,7,409946,Overall
12,men,7,396896,Overall
13,men,7,402102,Overall
14,men,7,415831,Overall
15,men,7,421633,Overall
16,men,7,438948,Overall
17,men,7,483826,Overall
18,men,7,477536,Overall
19,men,7,494581,Overall
20,men,7,488489,Overall
21,men,7,482190,Overall
22,men,7,469284,Overall
23,men,7,472962,Overall
24,men,7,480372,Overall
25,men,7,495975,Overall
26,men,7,493710,Overall
27,men,7,496446,Overall
28,men,7,475316,Overall
29,men,7,471734,Overall
30,men,7,469334,Overall
31,men,7,461462,Overall
32,men,7,450160,Overall
33,men,7,456353,Overall
34,men,7,463232,Overall
35,men,7,508182,Overall
36,men,7,564326,Overall
37,men,7,588133,Overall
38,men,7,636281,Overall
39,men,7,668912,Overall
40,men,7,688073,Overall
41,men,7,711727,Overall
42,men,7,718750,Overall
43,men,7,732453,Overall
44,men,7,727663,Overall
45,men,7,703907,Overall
46,men,7,693100,Overall
47,men,7,671244,Overall
48,men,7,653765,Overall
49,men,7,618800,Overall
50,men,7,605746,Overall
51,men,7,588779,Overall
52,men,7,568748,Overall
53,men,7,554737,Overall
54,men,7,536065,Overall
55,men,7,536332,Overall
56,men,7,526138,Overall
57,men,7,527006,Overall
58,men,7,512311,Overall
59,men,7,470330,Overall
60,men,7,440208,Overall
61,men,7,383804,Overall
62,men,7,334012,Overall
63,men,7,446129,Overall
64,men,7,452393,Overall
65,men,7,436019,Overall
66,men,7,523675,Overall
67,men,7,545044,Overall
68,men,7,529570,Overall
69,men,7,486784,Overall
70,men,7,446218,Overall
71,men,7,422791,Overall
72,men,7,399041,Overall
73,men,7,360341,Overall
74,men,7,280574,Overall
75,men,7,268709,Overall
76,men,7,262254,Overall
77,men,7,262570,Overall
78,men,7,242107,Overall
79,men,7,225943,Overall
80,men,7,190746,Overall
81,men,7,165078,Overall
82,men,7,144288,Overall
83,men,7,114053,Overall
84,men,7,99323,Overall
85,men,7,92321,Overall
86,men,7,81422,Overall
87,men,7,67120,Overall
88,men,7,43062,Overall
89,men,7,22658,Overall
90,men,7,33379.5826392169,Overall
91,men,7,27390.3248801748,Overall
92,men,7,19347.8413912448,Overall
93,men,7,10561.8946682313,Overall
94,men,7,4000.18474262433,Overall
95,men,7,943.63077093665,Overall
0,women,7,333217,Overall
1,women,7,328107,Overall
2,women,7,334794,Overall
3,women,7,344049,Overall
4,women,7,344760,Overall
5,women,7,351020,Overall
6,women,7,358561,Overall
7,women,7,375519,Overall
8,women,7,375760,Overall
9,women,7,384694,Overall
10,women,7,396736,Overall
11,women,7,389175,Overall
12,women,7,377387,Overall
13,women,7,381880,Overall
14,women,7,395406,Overall
15,women,7,402986,Overall
16,women,7,418923,Overall
17,women,7,461061,Overall
18,women,7,457563,Overall
19,women,7,472987,Overall
20,women,7,469217,Overall
21,women,7,468987,Overall
22,women,7,458661,Overall
23,women,7,462499,Overall
24,women,7,470991,Overall
25,women,7,486421,Overall
26,women,7,489352,Overall
27,women,7,493097,Overall
28,women,7,471271,Overall
29,women,7,466150,Overall
30,women,7,462911,Overall
31,women,7,456697,Overall
32,women,7,444127,Overall
33,women,7,453377,Overall
34,women,7,459314,Overall
35,women,7,500556,Overall
36,women,7,552746,Overall
37,women,7,575109,Overall
38,women,7,618014,Overall
39,women,7,648662,Overall
40,women,7,668335,Overall
41,women,7,688899,Overall
42,women,7,691253,Overall
43,women,7,706545,Overall
44,women,7,702793,Overall
45,women,7,683778,Overall
46,women,7,677571,Overall
47,women,7,657063,Overall
48,women,7,639479,Overall
49,women,7,605985,Overall
50,women,7,594861,Overall
51,women,7,581703,Overall
52,women,7,568009,Overall
53,women,7,562916,Overall
54,women,7,547982,Overall
55,women,7,549184,Overall
56,women,7,539528,Overall
57,women,7,541070,Overall
58,women,7,522683,Overall
59,women,7,477975,Overall
60,women,7,451516,Overall
61,women,7,395580,Overall
62,women,7,352013,Overall
63,women,7,468191,Overall
64,women,7,474810,Overall
65,women,7,461415,Overall
66,women,7,563372,Overall
67,women,7,595235,Overall
68,women,7,586536,Overall
69,women,7,545547,Overall
70,women,7,509342,Overall
71,women,7,493979,Overall
72,women,7,475153,Overall
73,women,7,438340,Overall
74,women,7,351367,Overall
75,women,7,347647,Overall
76,women,7,351225,Overall
77,women,7,365951,Overall
78,women,7,350361,Overall
79,women,7,339340,Overall
80,women,7,315638,Overall
81,women,7,309322,Overall
82,women,7,300851,Overall
83,women,7,273039,Overall
84,women,7,252150,Overall
85,women,7,240031,Overall
86,women,7,228600,Overall
87,women,7,200419,Overall
88,women,7,134104,Overall
89,women,7,74111,Overall
90,women,7,126085.606464456,Overall
91,women,7,113285.46649374,Overall
92,women,7,87043.1613766726,Overall
93,women,7,50926.8840348005,Overall
94,women,7,20202.8090924523,Overall
95,women,7,4838.70158455599,Overall
0,men,8,349981,Overall
1,men,8,352749,Overall
2,men,8,347015,Overall
3,men,8,352205,Overall
4,men,8,361951,Overall
5,men,8,362379,Overall
6,men,8,369009,Overall
7,men,8,377933,Overall
8,men,8,393809,Overall
9,men,8,396313,Overall
10,men,8,404106,Overall
11,men,8,416838,Overall
12,men,8,409781,Overall
13,men,8,396804,Overall
14,men,8,401949,Overall
15,men,8,415650,Overall
16,men,8,421622,Overall
17,men,8,438687,Overall
18,men,8,484437,Overall
19,men,8,480009,Overall
20,men,8,497878,Overall
21,men,8,491514,Overall
22,men,8,485119,Overall
23,men,8,472161,Overall
24,men,8,475080,Overall
25,men,8,481645,Overall
26,men,8,496572,Overall
27,men,8,493598,Overall
28,men,8,495595,Overall
29,men,8,474053,Overall
30,men,8,470028,Overall
31,men,8,467539,Overall
32,men,8,459290,Overall
33,men,8,448373,Overall
34,men,8,454782,Overall
35,men,8,461607,Overall
36,men,8,505831,Overall
37,men,8,561689,Overall
38,men,8,584975,Overall
39,men,8,633496,Overall
40,men,8,665907,Overall
41,men,8,685672,Overall
42,men,8,708778,Overall
43,men,8,715317,Overall
44,men,8,729012,Overall
45,men,8,724331,Overall
46,men,8,700648,Overall
47,men,8,689749,Overall
48,men,8,667508,Overall
49,men,8,650368,Overall
50,men,8,615240,Overall
51,men,8,601888,Overall
52,men,8,584761,Overall
53,men,8,564648,Overall
54,men,8,550582,Overall
55,men,8,531744,Overall
56,men,8,531658,Overall
57,men,8,521389,Overall
58,men,8,521793,Overall
59,men,8,506982,Overall
60,men,8,464648,Overall
61,men,8,434314,Overall
62,men,8,378345,Overall
63,men,8,328805,Overall
64,men,8,439167,Overall
65,men,8,444498,Overall
66,men,8,427895,Overall
67,men,8,513671,Overall
68,men,8,533900,Overall
69,men,8,517779,Overall
70,men,8,475163,Overall
71,men,8,434593,Overall
72,men,8,410646,Overall
73,men,8,386145,Overall
74,men,8,347294,Overall
75,men,8,269429,Overall
76,men,8,256953,Overall
77,men,8,249464,Overall
78,men,8,248193,Overall
79,men,8,227519,Overall
80,men,8,210830,Overall
81,men,8,176702,Overall
82,men,8,151708,Overall
83,men,8,131454,Overall
84,men,8,102709,Overall
85,men,8,88299,Overall
86,men,8,80788,Overall
87,men,8,70156,Overall
88,men,8,56989,Overall
89,men,8,35882,Overall
90,men,8,35769.7160018595,Overall
91,men,8,27568.8308362221,Overall
92,men,8,18026.5347914364,Overall
93,men,8,9038.58914794295,Overall
94,men,8,3141.13772691108,Overall
95,men,8,683.871801622283,Overall
0,women,8,332884,Overall
1,women,8,334339,Overall
2,women,8,328229,Overall
3,women,8,334547,Overall
4,women,8,343735,Overall
5,women,8,344199,Overall
6,women,8,350023,Overall
7,women,8,358011,Overall
8,women,8,375076,Overall
9,women,8,375446,Overall
10,women,8,384351,Overall
11,women,8,396513,Overall
12,women,8,389017,Overall
13,women,8,377292,Overall
14,women,8,381868,Overall
15,women,8,395256,Overall
16,women,8,403040,Overall
17,women,8,418861,Overall
18,women,8,462023,Overall
19,women,8,460483,Overall
20,women,8,477560,Overall
21,women,8,472878,Overall
22,women,8,471978,Overall
23,women,8,460971,Overall
24,women,8,464409,Overall
25,women,8,471982,Overall
26,women,8,486719,Overall
27,women,8,489228,Overall
28,women,8,492843,Overall
29,women,8,471177,Overall
30,women,8,465588,Overall
31,women,8,462484,Overall
32,women,8,456232,Overall
33,women,8,443726,Overall
34,women,8,453051,Overall
35,women,8,458913,Overall
36,women,8,499830,Overall
37,women,8,551701,Overall
38,women,8,574127,Overall
39,women,8,616864,Overall
40,women,8,647535,Overall
41,women,8,667355,Overall
42,women,8,687577,Overall
43,women,8,689919,Overall
44,women,8,705312,Overall
45,women,8,701517,Overall
46,women,8,682460,Overall
47,women,8,676246,Overall
48,women,8,655513,Overall
49,women,8,638197,Overall
50,women,8,604381,Overall
51,women,8,593357,Overall
52,women,8,579926,Overall
53,women,8,566269,Overall
54,women,8,561018,Overall
55,women,8,546038,Overall
56,women,8,546959,Overall
57,women,8,537095,Overall
58,women,8,538295,Overall
59,women,8,519952,Overall
60,women,8,474988,Overall
61,women,8,448404,Overall
62,women,8,392679,Overall
63,women,8,349215,Overall
64,women,8,464381,Overall
65,women,8,470729,Overall
66,women,8,457210,Overall
67,women,8,558018,Overall
68,women,8,589077,Overall
69,women,8,580099,Overall
70,women,8,538829,Overall
71,women,8,502523,Overall
72,women,8,486429,Overall
73,women,8,466961,Overall
74,women,8,429784,Overall
75,women,8,343677,Overall
76,women,8,339008,Overall
77,women,8,341348,Overall
78,women,8,354293,Overall
79,women,8,337777,Overall
80,women,8,325378,Overall
81,women,8,300669,Overall
82,women,8,292428,Overall
83,women,8,282214,Overall
84,women,8,253848,Overall
85,women,8,231952,Overall
86,women,8,217751,Overall
87,women,8,204431,Overall
88,women,8,176113,Overall
89,women,8,116152,Overall
90,women,8,133089.103330956,Overall
91,women,8,112873.627996434,Overall
92,women,8,81211.7891898003,Overall
93,women,8,44677.8872093475,Overall
94,women,8,16938.8326183339,Overall
95,women,8,3988.9810372126,Overall
0,men,9,340670,Overall
1,men,9,351772,Overall
2,men,9,353043,Overall
3,men,9,347148,Overall
4,men,9,352150,Overall
5,men,9,361715,Overall
6,men,9,361791,Overall
7,men,9,368696,Overall
8,men,9,377950,Overall
9,men,9,394076,Overall
10,men,9,396100,Overall
11,men,9,404162,Overall
12,men,9,416720,Overall
13,men,9,409993,Overall
14,men,9,397003,Overall
15,men,9,402220,Overall
16,men,9,416236,Overall
17,men,9,421870,Overall
18,men,9,439908,Overall
19,men,9,487069,Overall
20,men,9,483256,Overall
21,men,9,501116,Overall
22,men,9,494641,Overall
23,men,9,488136,Overall
24,men,9,474470,Overall
25,men,9,476869,Overall
26,men,9,482423,Overall
27,men,9,496846,Overall
28,men,9,493174,Overall
29,men,9,494945,Overall
30,men,9,473396,Overall
31,men,9,469239,Overall
32,men,9,466433,Overall
33,men,9,458074,Overall
34,men,9,447280,Overall
35,men,9,453868,Overall
36,men,9,460549,Overall
37,men,9,503890,Overall
38,men,9,559463,Overall
39,men,9,582570,Overall
40,men,9,630998,Overall
41,men,9,663401,Overall
42,men,9,683076,Overall
43,men,9,705947,Overall
44,men,9,712122,Overall
45,men,9,725834,Overall
46,men,9,721047,Overall
47,men,9,697262,Overall
48,men,9,686253,Overall
49,men,9,663925,Overall
50,men,9,646994,Overall
51,men,9,611602,Overall
52,men,9,597821,Overall
53,men,9,580582,Overall
54,men,9,560514,Overall
55,men,9,546104,Overall
56,men,9,527202,Overall
57,men,9,526628,Overall
58,men,9,516238,Overall
59,men,9,516128,Overall
60,men,9,500870,Overall
61,men,9,458586,Overall
62,men,9,428408,Overall
63,men,9,372899,Overall
64,men,9,323415,Overall
65,men,9,431469,Overall
66,men,9,436515,Overall
67,men,9,419769,Overall
68,men,9,503132,Overall
69,men,9,522043,Overall
70,men,9,505355,Overall
71,men,9,463041,Overall
72,men,9,422296,Overall
73,men,9,397849,Overall
74,men,9,372859,Overall
75,men,9,333880,Overall
76,men,9,257877,Overall
77,men,9,244764,Overall
78,men,9,236133,Overall
79,men,9,233549,Overall
80,men,9,212545,Overall
81,men,9,195473,Overall
82,men,9,162273,Overall
83,men,9,138143,Overall
84,men,9,118500,Overall
85,men,9,91220,Overall
86,men,9,77418,Overall
87,men,9,69614,Overall
88,men,9,59405,Overall
89,men,9,47417,Overall
90,men,9,38563.8588966084,Overall
91,men,9,28161.9744809155,Overall
92,men,9,17203.5623484298,Overall
93,men,9,7986.05999172721,Overall
94,men,9,2559.12721955709,Overall
95,men,9,514.259753026317,Overall
0,women,9,323538,Overall
1,women,9,334584,Overall
2,women,9,334570,Overall
3,women,9,328366,Overall
4,women,9,334444,Overall
5,women,9,343515,Overall
6,women,9,343544,Overall
7,women,9,349777,Overall
8,women,9,357986,Overall
9,women,9,374881,Overall
10,women,9,375319,Overall
11,women,9,384409,Overall
12,women,9,396571,Overall
13,women,9,389152,Overall
14,women,9,377358,Overall
15,women,9,382118,Overall
16,women,9,395846,Overall
17,women,9,403254,Overall
18,women,9,420137,Overall
19,women,9,465184,Overall
20,women,9,464912,Overall
21,women,9,481547,Overall
22,women,9,476269,Overall
23,women,9,474848,Overall
24,women,9,463465,Overall
25,women,9,466160,Overall
26,women,9,472905,Overall
27,women,9,487200,Overall
28,women,9,489653,Overall
29,women,9,492846,Overall
30,women,9,471113,Overall
31,women,9,465560,Overall
32,women,9,462385,Overall
33,women,9,456093,Overall
34,women,9,443672,Overall
35,women,9,452929,Overall
36,women,9,458714,Overall
37,women,9,499218,Overall
38,women,9,550791,Overall
39,women,9,573222,Overall
40,women,9,615929,Overall
41,women,9,646698,Overall
42,women,9,666294,Overall
43,women,9,686459,Overall
44,women,9,688755,Overall
45,women,9,704155,Overall
46,women,9,700378,Overall
47,women,9,681157,Overall
48,women,9,674987,Overall
49,women,9,653848,Overall
50,women,9,636849,Overall
51,women,9,602861,Overall
52,women,9,591685,Overall
53,women,9,578187,Overall
54,women,9,564312,Overall
55,women,9,558988,Overall
56,women,9,543984,Overall
57,women,9,544520,Overall
58,women,9,534393,Overall
59,women,9,535372,Overall
60,women,9,516821,Overall
61,women,9,471896,Overall
62,women,9,445271,Overall
63,women,9,389822,Overall
64,women,9,346231,Overall
65,women,9,460373,Overall
66,women,9,466261,Overall
67,women,9,452695,Overall
68,women,9,552328,Overall
69,women,9,582481,Overall
70,women,9,573239,Overall
71,women,9,531779,Overall
72,women,9,495190,Overall
73,women,9,478403,Overall
74,women,9,458191,Overall
75,women,9,420762,Overall
76,women,9,335160,Overall
77,women,9,329762,Overall
78,women,9,330567,Overall
79,women,9,341569,Overall
80,women,9,323998,Overall
81,women,9,310143,Overall
82,women,9,284602,Overall
83,women,9,274451,Overall
84,women,9,262326,Overall
85,women,9,233268,Overall
86,women,9,210684,Overall
87,women,9,194728,Overall
88,women,9,179784,Overall
89,women,9,152811,Overall
90,women,9,140499.594945851,Overall
91,women,9,113556.508394123,Overall
92,women,9,77247.468936992,Overall
93,women,9,40250.8357745274,Overall
94,women,9,14620.6644376242,Overall
95,women,9,3369.33370360685,Overall
0,men,10,346365,Overall
1,men,10,342570,Overall
2,men,10,352476,Overall
3,men,10,353402,Overall
4,men,10,347429,Overall
5,men,10,352334,Overall
6,men,10,361520,Overall
7,men,10,361801,Overall
8,men,10,368996,Overall
9,men,10,378338,Overall
10,men,10,394433,Overall
11,men,10,396456,Overall
12,men,10,404586,Overall
13,men,10,417218,Overall
14,men,10,410474,Overall
15,men,10,397722,Overall
16,men,10,403664,Overall
17,men,10,417357,Overall
18,men,10,423739,Overall
19,men,10,443315,Overall
20,men,10,491447,Overall
21,men,10,487753,Overall
22,men,10,505449,Overall
23,men,10,499597,Overall
24,men,10,492645,Overall
25,men,10,478420,Overall
26,men,10,480199,Overall
27,men,10,484590,Overall
28,men,10,498695,Overall
29,men,10,494665,Overall
30,men,10,495961,Overall
31,men,10,474515,Overall
32,men,10,469714,Overall
33,men,10,467097,Overall
34,men,10,458427,Overall
35,men,10,447585,Overall
36,men,10,454339,Overall
37,men,10,460198,Overall
38,men,10,503348,Overall
39,men,10,558756,Overall
40,men,10,581330,Overall
41,men,10,629913,Overall
42,men,10,661795,Overall
43,men,10,681618,Overall
44,men,10,704211,Overall
45,men,10,709941,Overall
46,men,10,723700,Overall
47,men,10,718528,Overall
48,men,10,694586,Overall
49,men,10,683528,Overall
50,men,10,660870,Overall
51,men,10,643841,Overall
52,men,10,608214,Overall
53,men,10,594253,Overall
54,men,10,576679,Overall
55,men,10,556325,Overall
56,men,10,541836,Overall
57,men,10,522535,Overall
58,men,10,521644,Overall
59,men,10,511032,Overall
60,men,10,510233,Overall
61,men,10,494743,Overall
62,men,10,452623,Overall
63,men,10,422292,Overall
64,men,10,366908,Overall
65,men,10,317627,Overall
66,men,10,423714,Overall
67,men,10,428076,Overall
68,men,10,411339,Overall
69,men,10,492250,Overall
70,men,10,509587,Overall
71,men,10,492673,Overall
72,men,10,450259,Overall
73,men,10,409665,Overall
74,men,10,384331,Overall
75,men,10,358924,Overall
76,men,10,320072,Overall
77,men,10,245949,Overall
78,men,10,232123,Overall
79,men,10,222417,Overall
80,men,10,218287,Overall
81,men,10,197382,Overall
82,men,10,179784,Overall
83,men,10,148309,Overall
84,men,10,124818,Overall
85,men,10,105555,Overall
86,men,10,80302,Overall
87,men,10,66932,Overall
88,men,10,59074,Overall
89,men,10,49652,Overall
90,men,10,41691.1910099979,Overall
91,men,10,29347.3961158023,Overall
92,men,10,17073.0191167962,Overall
93,men,10,7471.28552091049,Overall
94,men,10,2238.48077459915,Overall
95,men,10,417.939294955422,Overall
0,women,10,330034,Overall
1,women,10,325304,Overall
2,women,10,335212,Overall
3,women,10,335032,Overall
4,women,10,328725,Overall
5,women,10,334573,Overall
6,women,10,343316,Overall
7,women,10,343675,Overall
8,women,10,349995,Overall
9,women,10,358207,Overall
10,women,10,375177,Overall
11,women,10,375710,Overall
12,women,10,384809,Overall
13,women,10,397076,Overall
14,women,10,389578,Overall
15,women,10,377909,Overall
16,women,10,383118,Overall
17,women,10,396525,Overall
18,women,10,405030,Overall
19,women,10,424045,Overall
20,women,10,470755,Overall
21,women,10,470076,Overall
22,women,10,485657,Overall
23,women,10,480292,Overall
24,women,10,478536,Overall
25,women,10,466046,Overall
26,women,10,468262,Overall
27,women,10,474504,Overall
28,women,10,488522,Overall
29,women,10,490546,Overall
30,women,10,493619,Overall
31,women,10,471706,Overall
32,women,10,466363,Overall
33,women,10,463096,Overall
34,women,10,456828,Overall
35,women,10,444115,Overall
36,women,10,453147,Overall
37,women,10,458691,Overall
38,women,10,498978,Overall
39,women,10,550699,Overall
40,women,10,572881,Overall
41,women,10,615557,Overall
42,women,10,646047,Overall
43,women,10,665880,Overall
44,women,10,685766,Overall
45,women,10,687988,Overall
46,women,10,703501,Overall
47,women,10,699280,Overall
48,women,10,680082,Overall
49,women,10,673725,Overall
50,women,10,652324,Overall
51,women,10,635448,Overall
52,women,10,601368,Overall
53,women,10,589901,Overall
54,women,10,576204,Overall
55,women,10,562358,Overall
56,women,10,556854,Overall
57,women,10,541728,Overall
58,women,10,542044,Overall
59,women,10,531797,Overall
60,women,10,532163,Overall
61,women,10,513619,Overall
62,women,10,468534,Overall
63,women,10,442026,Overall
64,women,10,386693,Overall
65,women,10,342911,Overall
66,women,10,456114,Overall
67,women,10,461752,Overall
68,women,10,447925,Overall
69,women,10,546312,Overall
70,women,10,575509,Overall
71,women,10,566002,Overall
72,women,10,524227,Overall
73,women,10,487272,Overall
74,women,10,469584,Overall
75,women,10,448674,Overall
76,women,10,410640,Overall
77,women,10,326039,Overall
78,women,10,319416,Overall
79,women,10,318833,Overall
80,women,10,328000,Overall
81,women,10,309277,Overall
82,women,10,293888,Overall
83,women,10,267374,Overall
84,women,10,255513,Overall
85,women,10,241776,Overall
86,women,10,212239,Overall
87,women,10,188780,Overall
88,women,10,172053,Overall
89,women,10,156030,Overall
90,women,10,147734.380610146,Overall
91,women,10,115860.602420181,Overall
92,women,10,75942.7638716831,Overall
93,women,10,38065.5092090447,Overall
94,women,10,13349.6455722457,Overall
95,women,10,2997.08384256387,Overall
0,men,11,337491,Overall
1,men,11,347809,Overall
2,men,11,343588,Overall
3,men,11,353487,Overall
4,men,11,354101,Overall
5,men,11,348046,Overall
6,men,11,352481,Overall
7,men,11,362049,Overall
8,men,11,362379,Overall
9,men,11,369640,Overall
10,men,11,379094,Overall
11,men,11,395373,Overall
12,men,11,397227,Overall
13,men,11,405287,Overall
14,men,11,418001,Overall
15,men,11,411488,Overall
16,men,11,399529,Overall
17,men,11,405181,Overall
18,men,11,420300,Overall
19,men,11,428585,Overall
20,men,11,449237,Overall
21,men,11,497885,Overall
22,men,11,494404,Overall
23,men,11,512860,Overall
24,men,11,506758,Overall
25,men,11,499365,Overall
26,men,11,484494,Overall
27,men,11,485568,Overall
28,men,11,489574,Overall
29,men,11,502860,Overall
30,men,11,498101,Overall
31,men,11,499241,Overall
32,men,11,477058,Overall
33,men,11,472233,Overall
34,men,11,469563,Overall
35,men,11,460545,Overall
36,men,11,449668,Overall
37,men,11,456093,Overall
38,men,11,461806,Overall
39,men,11,504448,Overall
40,men,11,559335,Overall
41,men,11,581744,Overall
42,men,11,629955,Overall
43,men,11,661704,Overall
44,men,11,681421,Overall
45,men,11,703638,Overall
46,men,11,708958,Overall
47,men,11,722224,Overall
48,men,11,716915,Overall
49,men,11,692770,Overall
50,men,11,681686,Overall
51,men,11,658318,Overall
52,men,11,641076,Overall
53,men,11,605312,Overall
54,men,11,590934,Overall
55,men,11,572971,Overall
56,men,11,552415,Overall
57,men,11,537623,Overall
58,men,11,517896,Overall
59,men,11,516469,Overall
60,men,11,505374,Overall
61,men,11,504199,Overall
62,men,11,488439,Overall
63,men,11,446402,Overall
64,men,11,415921,Overall
65,men,11,360573,Overall
66,men,11,311783,Overall
67,men,11,415717,Overall
68,men,11,419615,Overall
69,men,11,402603,Overall
70,men,11,480974,Overall
71,men,11,496958,Overall
72,men,11,479613,Overall
73,men,11,437250,Overall
74,men,11,396644,Overall
75,men,11,370645,Overall
76,men,11,344499,Overall
77,men,11,305868,Overall
78,men,11,233524,Overall
79,men,11,219102,Overall
80,men,11,208649,Overall
81,men,11,203389,Overall
82,men,11,182267,Overall
83,men,11,164421,Overall
84,men,11,134331,Overall
85,men,11,111733,Overall
86,men,11,93175,Overall
87,men,11,69766,Overall
88,men,11,57204,Overall
89,men,11,49580,Overall
90,men,11,45047.9851876038,Overall
91,men,11,31359.989698029,Overall
92,men,11,17887.4110157365,Overall
93,men,11,7590.08578455736,Overall
94,men,11,2175.35476625573,Overall
95,men,11,382.344020102913,Overall
0,women,11,320841,Overall
1,women,11,331427,Overall
2,women,11,325991,Overall
3,women,11,336204,Overall
4,women,11,335647,Overall
5,women,11,329292,Overall
6,women,11,334787,Overall
7,women,11,343904,Overall
8,women,11,344265,Overall
9,women,11,350483,Overall
10,women,11,358677,Overall
11,women,11,375808,Overall
12,women,11,376312,Overall
13,women,11,385472,Overall
14,women,11,397843,Overall
15,women,11,390419,Overall
16,women,11,379122,Overall
17,women,11,384207,Overall
18,women,11,399178,Overall
19,women,11,409937,Overall
20,women,11,430391,Overall
21,women,11,476995,Overall
22,women,11,475624,Overall
23,women,11,492088,Overall
24,women,11,485835,Overall
25,women,11,483393,Overall
26,women,11,470021,Overall
27,women,11,471646,Overall
28,women,11,477411,Overall
29,women,11,491075,Overall
30,women,11,492539,Overall
31,women,11,495397,Overall
32,women,11,473287,Overall
33,women,11,467930,Overall
34,women,11,464605,Overall
35,women,11,458118,Overall
36,women,11,445255,Overall
37,women,11,454315,Overall
38,women,11,459567,Overall
39,women,11,499631,Overall
40,women,11,551398,Overall
41,women,11,573174,Overall
42,women,11,615826,Overall
43,women,11,646200,Overall
44,women,11,665873,Overall
45,women,11,685674,Overall
46,women,11,687675,Overall
47,women,11,702860,Overall
48,women,11,698687,Overall
49,women,11,679359,Overall
50,women,11,672778,Overall
51,women,11,651174,Overall
52,women,11,634292,Overall
53,women,11,600035,Overall
54,women,11,588475,Overall
55,women,11,574344,Overall
56,women,11,560430,Overall
57,women,11,554749,Overall
58,women,11,539432,Overall
59,women,11,539263,Overall
60,women,11,528753,Overall
61,women,11,528754,Overall
62,women,11,510179,Overall
63,women,11,465029,Overall
64,women,11,438520,Overall
65,women,11,383150,Overall
66,women,11,339695,Overall
67,women,11,451702,Overall
68,women,11,457085,Overall
69,women,11,442821,Overall
70,women,11,539956,Overall
71,women,11,568121,Overall
72,women,11,558229,Overall
73,women,11,516031,Overall
74,women,11,478768,Overall
75,women,11,460002,Overall
76,women,11,438410,Overall
77,women,11,399917,Overall
78,women,11,316284,Overall
79,women,11,308721,Overall
80,women,11,306544,Overall
81,women,11,313686,Overall
82,women,11,293571,Overall
83,women,11,276852,Overall
84,women,11,249721,Overall
85,women,11,235984,Overall
86,women,11,220744,Overall
87,women,11,191118,Overall
88,women,11,167556,Overall
89,women,11,150028,Overall
90,women,11,154092.08409661,Overall
91,women,11,120411.138131765,Overall
92,women,11,78231.5037638245,Overall
93,women,11,38627.8503029854,Overall
94,women,11,13249.4669240461,Overall
95,women,11,2885.69505381691,Overall
0,men,12,345987,Overall
1,men,12,341450,Overall
2,men,12,350534,Overall
3,men,12,345843,Overall
4,men,12,355497,Overall
5,men,12,355946,Overall
6,men,12,349430,Overall
7,men,12,354047,Overall
8,men,12,363634,Overall
9,men,12,364094,Overall
10,men,12,371262,Overall
11,men,12,380625,Overall
12,men,12,397086,Overall
13,men,12,398743,Overall
14,men,12,406763,Overall
15,men,12,419850,Overall
16,men,12,413981,Overall
17,men,12,401881,Overall
18,men,12,409325,Overall
19,men,12,427173,Overall
20,men,12,436659,Overall
21,men,12,457637,Overall
22,men,12,506959,Overall
23,men,12,504480,Overall
24,men,12,522826,Overall
25,men,12,516186,Overall
26,men,12,508240,Overall
27,men,12,492650,Overall
28,men,12,493215,Overall
29,men,12,496340,Overall
30,men,12,509069,Overall
31,men,12,503976,Overall
32,men,12,504384,Overall
33,men,12,482236,Overall
34,men,12,476846,Overall
35,men,12,473924,Overall
36,men,12,464830,Overall
37,men,12,453873,Overall
38,men,12,459627,Overall
39,men,12,465095,Overall
40,men,12,507509,Overall
41,men,12,562426,Overall
